
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    127.0.0.1:53842        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53843        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53844        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53845        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53846        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53847        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53848        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53849        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53850        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53851        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53852        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53853        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53854        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53855        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53856        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53857        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53858        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53859        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53860        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53861        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53862        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53863        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53864        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53865        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53866        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53867        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53868        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53869        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53870        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53871        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53872        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53873        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53874        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53875        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53876        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53877        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53878        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53879        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53880        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53881        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53882        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53883        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53884        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53885        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53886        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53887        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53888        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53889        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53890        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53891        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53892        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53893        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53894        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53895        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53896        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53897        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53899        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53900        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53901        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53902        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53903        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53904        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53905        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53906        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53907        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53908        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53909        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53910        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53911        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53912        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53913        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53914        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53915        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53916        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53917        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53918        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53919        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53920        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53921        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53922        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53923        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53924        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53925        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53926        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53927        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53929        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53930        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53931        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53932        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53933        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53934        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53935        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53936        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53937        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53938        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53939        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53940        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53941        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53942        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53943        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53944        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53945        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53946        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53947        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53948        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53949        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53950        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53951        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53952        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53953        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53954        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53955        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53956        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53957        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53958        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53959        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53960        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53961        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53963        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53964        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53965        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53966        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53967        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53968        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53969        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53970        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53971        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53972        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53973        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53974        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53975        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53976        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53977        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53978        127.0.0.1:49350        TIME_WAIT
